,breweryID,abv,ibu,beerID,beer_name,style,ounces,brewery_name,city,state
1827,502,0.047,,815,Sea Dog Wild Blueberry Wheat Ale,Fruit / Vegetable Beer,12.0,Sea Dog Brewing Company,Portland,ME
1596,503,0.087,60.0,733,Gordon Beer (2006),American Double / Imperial IPA,12.0,Oskar Blues Brewery,Lyons,CO
1595,503,0.052000000000000005,,734,Leroy (2005),American Brown Ale,12.0,Oskar Blues Brewery,Lyons,CO
1594,503,0.065,65.0,741,Dale's Pale Ale (2002),American Pale Ale (APA),12.0,Oskar Blues Brewery,Lyons,CO
1593,503,0.065,65.0,742,Dale's Pale Ale (2003),American Pale Ale (APA),12.0,Oskar Blues Brewery,Lyons,CO
1592,503,0.065,65.0,743,Dale's Pale Ale (2004),American Pale Ale (APA),12.0,Oskar Blues Brewery,Lyons,CO
1585,503,0.095,98.0,804,Ten Fidy Imperial Stout (2008),Russian Imperial Stout,12.0,Oskar Blues Brewery,Lyons,CO
1590,503,0.065,65.0,745,Dale's Pale Ale (2008),American Pale Ale (APA),12.0,Oskar Blues Brewery,Lyons,CO
1589,503,0.08,35.0,785,Old Chub (2003),Scottish Ale,12.0,Oskar Blues Brewery,Lyons,CO
1588,503,0.08,35.0,786,Old Chub (2004),Scottish Ale,12.0,Oskar Blues Brewery,Lyons,CO
1587,503,0.08,35.0,787,Old Chub (2008),Scottish Ale,12.0,Oskar Blues Brewery,Lyons,CO
1586,503,0.099,98.0,803,Ten Fidy Imperial Stout (2007),Russian Imperial Stout,12.0,Oskar Blues Brewery,Lyons,CO
1584,503,0.092,85.0,805,Gordon (2005),American Double / Imperial IPA,12.0,Oskar Blues Brewery,Lyons,CO
1591,503,0.065,65.0,744,Dale's Pale Ale (2006),American Pale Ale (APA),12.0,Oskar Blues Brewery,Lyons,CO
543,504,0.05,,783,Carolina Blonde (2006),American Blonde Ale,12.0,Carolina Beer & Beverage,Mooresville,NC
542,504,0.04,,784,Carolina Lighthouse (2007),American Blonde Ale,12.0,Carolina Beer & Beverage,Mooresville,NC
544,504,0.035,,782,Carolina Blonde Light (2005),American Blonde Ale,12.0,Carolina Beer & Beverage,Mooresville,NC
1185,505,0.04,9.0,781,Choc Beer (2003),American Dark Wheat Ale,12.0,Krebs Brewing Company (Pete's Pl...,Krebs,OK
2329,506,0.047,,780,T-6 Red Ale (2004),American Amber / Red Ale,12.0,Warbird Brewing Company,Fort Wayne,IN
1413,507,0.085,,132,Full Moon Belgian White Ale (2007),Witbier,12.0,Mudshark Brewing Company,Lake Havasu City,AZ
1414,507,0.055,,131,Dry Heat Hefeweizen (2006),Hefeweizen,12.0,Mudshark Brewing Company,Lake Havasu City,AZ
1412,507,0.042,,326,Up River Light,Light Lager,12.0,Mudshark Brewing Company,Lake Havasu City,AZ
1411,507,0.07200000000000001,,625,Desert Magic IPA,American IPA,12.0,Mudshark Brewing Company,Lake Havasu City,AZ
1410,507,0.085,,768,Full Moon Belgian White Ale,Witbier,12.0,Mudshark Brewing Company,Lake Havasu City,AZ
1969,508,,,763,Hopluia (2004),English India Pale Ale (IPA),16.0,Spilker Ales,Cortland,NE
2379,509,0.07400000000000001,83.0,762,Ace IPA,American IPA,16.0,Wingman Brewers,Tacoma,WA
2380,509,0.08,31.0,761,P-51 Porter,American Porter,16.0,Wingman Brewers,Tacoma,WA
1163,510,0.065,65.0,758,Double Haul IPA (2006),American IPA,16.0,Kettle House Brewing Company,Missoula,MT
1161,510,0.065,11.0,760,Cold Smoke Scotch Ale (2007),Scotch Ale / Wee Heavy,16.0,Kettle House Brewing Company,Missoula,MT
1162,510,0.065,65.0,759,Double Haul IPA (2009),American IPA,16.0,Kettle House Brewing Company,Missoula,MT
1165,510,0.065,65.0,86,Double Haul IPA,American IPA,16.0,Kettle House Brewing Company,Missoula,MT
1166,510,0.065,11.0,85,Cold Smoke Scotch Ale,Scotch Ale / Wee Heavy,16.0,Kettle House Brewing Company,Missoula,MT
1164,510,0.055,50.0,87,Eddy Out Pale Ale,American Pale Ale (APA),16.0,Kettle House Brewing Company,Missoula,MT
1839,511,0.05,,738,Archer's Ale (2004),English Pale Ale,12.0,Sherwood Forest Brewers,Marlborough,MA
647,512,0.038,,737,Chester's Beer (2005),American Pale Lager,12.0,Cottrell Brewing,Pawcatuck,CT
133,513,0.052000000000000005,,735,On-On Ale (2008),American Pale Ale (APA),12.0,Arctic Craft Brewery,Colorado Springs,CO
1396,514,0.058,,717,Monkey Paw Oatmeal Pale Ale,American Pale Ale (APA),16.0,Monkey Paw Pub & Brewery,San Diego,CA
1395,514,0.087,,718,Rich Man's IIPA,American Double / Imperial IPA,16.0,Monkey Paw Pub & Brewery,San Diego,CA
1394,514,0.054000000000000006,,719,Sweet Georgia Brown,American Brown Ale,16.0,Monkey Paw Pub & Brewery,San Diego,CA
651,515,0.077,71.0,556,Eclipse Black IPA,American Black Ale,16.0,Crabtree Brewing Company,Greeley,CO
649,515,0.048,,716,Trigger Blonde Ale,American Blonde Ale,16.0,Crabtree Brewing Company,Greeley,CO
650,515,0.075,29.0,659,Crabtree Oatmeal Stout,Oatmeal Stout,16.0,Crabtree Brewing Company,Greeley,CO
751,516,0.049,25.0,673,Dottie Seattle Lager,American Amber / Red Lager,16.0,Emerald City Beer Company,Seattle,WA
